,Gender,Age,Tenure,Saving_Amount,Current_Amount,Time_Deposits_Amount,Funds_Amount,Stocks_Amount,Bank_Assurance_Amount,Life_Assurance_Amount,Business_Loan_Amount,Home_Loan_Amount,Consumer_Loan_Amount,Branch_Transactions,ATM_Transactions,Phone_Transactions,Internet_Transactions,Standing_Orders,New_Credit_Card_Flag
143,M,59,49,28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3415.025,4,0,0,0,0,0
144,M,36,49,146.477143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23027.56,0.0,11,0,0,0,1,0
145,M,54,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.882857,4,0,0,0,0,0
146,M,85,49,0.0,0.0,0.0,0.0,0.0,74.051429,0.0,0.0,0.0,0.0,0,0,0,0,0,0
147,M,45,49,0.0,0.291429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
148,M,42,49,1039.635714,0.0,0.0,0.0,0.0,547.055714,0.0,0.0,22754.005714,5018.762857,8,0,0,0,0,0
149,F,46,49,0.56,133.275714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,0,0,0,0
150,F,46,49,0.0,76.231429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034286,0,13,0,0,0,0
151,M,61,49,94.15,0.0,0.0,0.0,0.0,285.428571,0.0,0.0,3886.395714,682.195714,2,0,0,0,0,0
152,M,77,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
153,M,45,49,99.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.977143,0,11,0,0,0,0
154,M,53,49,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12283.98,20,3,0,0,0,1
155,M,66,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.271429,4,4,0,0,0,0
156,F,67,49,707.788571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.317143,17,0,0,0,3,0
157,M,51,49,0.0,0.0,0.0,0.0,0.0,542.36,0.0,0.0,0.0,0.0,0,0,0,0,0,0
158,M,40,49,0.0,39.597143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,0
159,M,41,49,0.302857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
160,M,60,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.657143,1,0,0,0,0,1
161,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11843.565714,0.0,0.005714,4,0,0,0,0,1
162,F,44,49,0.0,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5261.284286,0,13,0,0,0,0
163,F,40,49,16.588571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
164,F,42,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.774286,1,0,0,0,0,0
165,M,58,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108571,0,0,0,0,0,0
166,M,43,49,139.022857,8.817143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0,0,0,0
167,F,34,49,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
168,M,36,49,7318.377143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0,0,0,0
169,M,50,49,0.0,0.0,0.0,0.0,0.0,326.817143,0.0,0.0,0.0,0.0,10,5,0,0,0,1
170,M,79,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.752857,0,3,0,0,0,0
171,M,36,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.262857,0,0,0,0,0,0
172,M,54,49,56.13,0.0,0.0,0.0,0.0,0.0,0.0,45.017143,0.0,196.975714,7,0,0,0,0,0
173,M,37,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
174,M,39,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.024286,0,0,0,0,0,0
175,F,35,49,25.325714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
176,M,38,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.702857,0,0,0,0,0,0
177,M,36,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6967.014286,7,0,0,0,0,0
178,M,48,49,7.811429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2384.777143,3,0,0,0,0,0
179,F,52,49,47.377143,522.298571,0.0,0.0,0.0,46.64,530.577143,0.0,38052.121429,7925.277143,2,8,10,0,1,0
180,M,33,49,2862.445714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222857,0,0,0,0,0,0
181,F,51,49,0.051429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
182,M,33,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.974286,1,0,0,0,0,0
183,M,33,49,0.0,0.0,0.0,256.768571,0.0,3.68,0.0,0.0,0.0,0.0,2,0,0,0,0,0
184,M,46,49,74.082857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0
185,M,62,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102857,0,0,0,0,0,0
186,M,49,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.288571,1,0,0,0,0,0
187,M,51,49,168.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
188,M,45,49,65.931429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
